name,mode,duration_seconds,manual_only_detected,manual_expanded_detected,manual_plus_llm_detected,llm_matches_manual_expanded,llm_beats_weak_baseline,generation_total,useful_count,redundant_count,low_value_count,invalid_count
run_01,frozen_schema,74.398,7,16,16,True,True,0,0,0,0,0
run_02,frozen_schema,51.86,7,16,16,True,True,0,0,0,0,0
run_03,frozen_schema,50.954,7,16,16,True,True,0,0,0,0,0
run_04,frozen_schema,50.153,7,16,16,True,True,0,0,0,0,0
run_05,frozen_schema,52.171,7,16,16,True,True,0,0,0,0,0
